epoch,step,train_dataset_iou,train_loss,train_per_image_iou,valid_dataset_iou,valid_loss,valid_per_image_iou
0,25,,,,0.16777196526527405,0.8631877899169922,0.21110844612121582
0,25,0.16777196526527405,0.830975353717804,0.21110844612121582,,,
1,51,,,,0.23347845673561096,0.8404333591461182,0.27072450518608093
1,51,0.23347845673561096,0.809765636920929,0.27072450518608093,,,
2,77,,,,0.2079913169145584,0.8155093193054199,0.24446140229701996
2,77,0.2079913169145584,0.7875201106071472,0.24446140229701996,,,
3,103,,,,0.2907208800315857,0.7920415997505188,0.33446747064590454
3,103,0.2907208800315857,0.768750011920929,0.33446747064590454,,,
4,129,,,,0.23367054760456085,0.7761774063110352,0.27883973717689514
4,129,0.23367054760456085,0.7517186403274536,0.27883973717689514,,,
5,155,,,,0.3011741042137146,0.7614316344261169,0.3412560522556305
5,155,0.3011741042137146,0.7318832278251648,0.3412560522556305,,,
6,181,,,,0.3231625258922577,0.7445358633995056,0.35952451825141907
6,181,0.3231625258922577,0.7164464592933655,0.35952451825141907,,,
7,207,,,,0.3641732633113861,0.7302973866462708,0.3921620547771454
7,207,0.3641732633113861,0.7025708556175232,0.3921620547771454,,,
8,233,,,,0.44262585043907166,0.7182266712188721,0.4808935225009918
8,233,0.44262585043907166,0.6879372000694275,0.4808935225009918,,,
9,259,,,,0.4493314325809479,0.7093549370765686,0.4823298752307892
9,259,0.4493314325809479,0.6767825484275818,0.4823298752307892,,,
10,285,,,,0.35245680809020996,0.7059745192527771,0.4128097593784332
10,285,0.35245680809020996,0.6646104454994202,0.4128097593784332,,,
11,311,,,,0.5048214197158813,0.6979877352714539,0.5293872952461243
11,311,0.5048214197158813,0.6548736095428467,0.5293872952461243,,,
12,337,,,,0.52515709400177,0.6876085996627808,0.552954912185669
12,337,0.52515709400177,0.6460331082344055,0.552954912185669,,,
13,363,,,,0.43875908851623535,0.6806842088699341,0.47648438811302185
13,363,0.43875908851623535,0.6382678747177124,0.47648438811302185,,,
14,389,,,,0.46395331621170044,0.6753376722335815,0.49202343821525574
14,389,0.46395331621170044,0.6306278705596924,0.49202343821525574,,,
15,415,,,,0.408857136964798,0.6705322265625,0.46954992413520813
15,415,0.408857136964798,0.623089075088501,0.46954992413520813,,,
16,441,,,,0.4568411707878113,0.664840042591095,0.49424126744270325
16,441,0.4568411707878113,0.6158566474914551,0.49424126744270325,,,
17,467,,,,0.5220368504524231,0.6592304110527039,0.5457019209861755
17,467,0.5220368504524231,0.6085997819900513,0.5457019209861755,,,
18,493,,,,0.5159491896629333,0.6537962555885315,0.5557987689971924
18,493,0.5159491896629333,0.6020920872688293,0.5557987689971924,,,
19,519,,,,0.3557468056678772,0.6540642976760864,0.41195735335350037
19,519,0.3557468056678772,0.596156895160675,0.41195735335350037,,,
20,545,,,,0.3042815923690796,0.6547967195510864,0.35800784826278687
20,545,0.3042815923690796,0.5905730724334717,0.35800784826278687,,,
21,571,,,,0.5343142151832581,0.6502264142036438,0.5713601112365723
21,571,0.5343142151832581,0.5854800343513489,0.5713601112365723,,,
22,597,,,,0.5617872476577759,0.6458760499954224,0.587385892868042
22,597,0.5617872476577759,0.5794172883033752,0.587385892868042,,,
23,623,,,,0.5087298154830933,0.6410930752754211,0.5420102477073669
23,623,0.5087298154830933,0.574129581451416,0.5420102477073669,,,
24,649,,,,0.5078651309013367,0.6371561884880066,0.5438860058784485
24,649,0.5078651309013367,0.5692552924156189,0.5438860058784485,,,
25,675,,,,0.4874860942363739,0.6328136920928955,0.5341066718101501
25,675,0.4874860942363739,0.5643535256385803,0.5341066718101501,,,
26,701,,,,0.5682988166809082,0.6300137639045715,0.5990498065948486
26,701,0.5682988166809082,0.560114860534668,0.5990498065948486,,,
27,727,,,,0.5091830492019653,0.6268065571784973,0.552797794342041
27,727,0.5091830492019653,0.5559426546096802,0.552797794342041,,,
28,753,,,,0.4832518696784973,0.6233920454978943,0.5273943543434143
28,753,0.4832518696784973,0.5515726804733276,0.5273943543434143,,,
29,779,,,,0.4517802596092224,0.6210534572601318,0.4933532476425171
29,779,0.4517802596092224,0.5474893450737,0.4933532476425171,,,
30,805,,,,0.47108423709869385,0.619399905204773,0.520602285861969
30,805,0.47108423709869385,0.5440965890884399,0.520602285861969,,,
31,831,,,,0.4422852694988251,0.6179460883140564,0.49414461851119995
31,831,0.4422852694988251,0.5404979586601257,0.49414461851119995,,,
32,857,,,,0.4965818524360657,0.6158786416053772,0.5292398929595947
32,857,0.4965818524360657,0.5367680191993713,0.5292398929595947,,,
33,883,,,,0.47372013330459595,0.6135154962539673,0.5143018364906311
33,883,0.47372013330459595,0.5328999161720276,0.5143018364906311,,,
34,909,,,,0.4957217574119568,0.6117878556251526,0.5370166301727295
34,909,0.4957217574119568,0.5299103856086731,0.5370166301727295,,,
35,935,,,,0.507656991481781,0.609347939491272,0.5476502180099487
35,935,0.507656991481781,0.5269947052001953,0.5476502180099487,,,
36,961,,,,0.4804251790046692,0.6075111031532288,0.5108314156532288
36,961,0.4804251790046692,0.523420512676239,0.5108314156532288,,,
37,987,,,,0.4964902102947235,0.60528564453125,0.535889208316803
37,987,0.4964902102947235,0.5197619199752808,0.535889208316803,,,
38,1013,,,,0.5165072679519653,0.6036573648452759,0.5512213706970215
38,1013,0.5165072679519653,0.5172507166862488,0.5512213706970215,,,
39,1039,,,,0.5248264074325562,0.602057933807373,0.567359983921051
39,1039,0.5248264074325562,0.5150421261787415,0.567359983921051,,,
40,1040,,,,0.5248264074325562,0.6005359292030334,0.567359983921051
